Mod,likes,downloads,time,unique_dl,views,dl_dif
15956,185,6841,2809,5006,23151,1835
32298,74,3923,1987,2925,26504,998
39753,8,224,1573,171,4087,53
39544,7,210,1585,176,4937,34
6311,38,965,3383,744,9006,221
38420,6,480,1655,384,9226,96
2710,138,5221,3513,3883,54619,1338
2081,61,1584,3523,1165,15694,419
22022,6,210,2499,168,4521,42
37410,8,214,1725,175,5822,39
14287,17,649,2902,427,12547,222
36563,676,31272,1777,23254,145102,8018
25534,13,727,2335,632,11396,95
12929,11,528,3008,403,7125,125
24523,11,731,2379,597,6493,134
40462,551,12301,1520,9125,65438,3176
45836,3,79,314,65,2598,14
25364,77,5352,2342,4000,34067,1352
1953,12,350,3526,261,9516,89
4017,6,66,3486,47,3853,19
45401,72,697,470,499,7555,198
30873,21,416,2059,300,4539,116
41316,156,3539,1428,2415,23715,1124
38783,12,126,1630,105,3976,21
41436,9,267,1410,204,8354,63
34838,50,1161,1882,916,15841,245
5664,8,465,3411,341,8307,124
27571,53,5114,2235,3777,25144,1337
31432,10,180,2032,151,9558,29
38671,3,129,1638,102,5809,27
29649,155,4508,2121,3719,23255,789
32625,3,132,1973,102,2902,30
40911,0,53,1479,38,3898,15
11107,666,24983,3105,18238,118131,6745
9821,5,183,3171,146,3644,37
6026,0,90,3394,79,6777,11
33882,2,161,1924,135,10218,26
19275,15,259,2651,204,4024,55
35443,4,222,1850,181,8794,41
7980,3,21,3286,16,1883,5
11086,135,5465,3106,3751,31782,1714
43645,30,391,900,327,7091,64
16484,12,748,2783,571,6288,177
32022,15,377,2001,302,11745,75
5167,1,92,3437,82,5293,10
25227,3,130,2348,77,10448,53
40937,11,912,1477,666,19170,246
11813,2,58,3069,52,2616,6
39804,3086,123054,1570,87055,291382,35999
18857,9,380,2669,258,4307,122
28003,4,102,2210,86,1458,16
32074,1,110,1998,68,2709,42
20316,4,150,2597,123,4601,27
15050,8,339,2851,288,4297,51
21501,16,1528,2529,1151,16720,377
38387,6,137,1658,112,5265,25
37904,536,13867,1691,10245,88949,3622
32095,0,119,1997,78,4555,41
45129,274,2839,549,2348,15012,491
46204,2,12,160,11,1303,1
34543,167,4773,1899,3606,31452,1167
37696,5,380,1707,305,14628,75
12395,51,3479,3038,2661,24024,818
29017,15,414,2154,309,8051,105
35452,5,306,1850,268,5735,38
7548,12,286,3321,226,13190,60
13288,11,550,2978,419,7411,131
11560,3,124,3081,105,2597,19
7015,5,165,3350,146,3307,19
21837,5,325,2511,265,2624,60
22901,30,2880,2455,2207,18592,673
30115,22,316,2099,250,3115,66
7712,16,705,3311,580,9559,125
26870,11,560,2273,438,6670,122
10328,445,20446,3147,15635,263953,4811
3798,8,316,3493,240,5251,76
12655,5,151,3024,117,2789,34
42374,39,646,1246,514,9845,132
23242,57,2338,2439,1893,9985,445
32499,50,2380,1979,1941,20063,439
30505,6,254,2076,208,7588,46
18489,12,634,2685,530,15577,104
15231,3,106,2841,85,2053,21
12565,29,1476,3029,1078,14279,398
4246,3,96,3478,76,11592,20
19260,3,199,2652,177,8042,22
24236,57,2191,2393,1727,20622,464
39942,11,77,1559,57,4140,20
1814,17,786,3530,620,11278,166
25298,0,86,2345,65,7240,21
43426,2,93,974,61,4796,32
40757,779,53097,1493,39201,152823,13896
16323,898,74923,2791,49046,246247,25877
2536,13887,705205,3516,405169,2268666,300036
8543,155,8593,3246,6639,168520,1954
34103,29,780,1917,642,9354,138
23997,84,2549,2403,1836,11860,713
4670,13,990,3462,761,9478,229
2168,146,4502,3522,3646,54134,856
11876,7,315,3066,257,3712,58
31868,0,20,2009,16,1807,4
30654,0,32,2069,25,3095,7
13878,68,3713,2932,2616,28324,1097
31390,223,11497,2034,7368,55348,4129
11924,26,2607,3063,1865,25335,742
6363,5,114,3381,102,2737,12
1863,32,2108,3528,1647,35722,461
6851,15,673,3359,534,9501,139
43390,323,6629,984,5036,47008,1593
35065,87,1745,1870,1435,21507,310
2355,8,160,3519,130,5331,30
2345,6,478,3519,320,8517,158
2974,47,1336,3508,1075,13396,261
22537,10,956,2473,725,21574,231
27645,6,453,2231,359,8554,94
29498,1,186,2129,164,3819,22
7209,50,2360,3340,1811,21484,549
41646,128,2566,1380,1996,20139,570
36173,26,568,1796,430,7570,138
25553,3,84,2334,65,3878,19
39102,8,264,1611,204,10920,60
9537,6,362,3185,286,7655,76
24721,25,1871,2369,1509,25478,362
20340,23,466,2596,395,3727,71
36763,43,593,1765,449,7525,144
3021,33,865,3507,664,13835,201
35583,10,695,1839,430,7981,265
