Mod,likes,downloads,time,unique_dl,views
37535,1,69,1693,55,4587
29811,4,125,2091,94,4421
35554,13,214,1819,171,3774
29912,41,4122,2085,3346,24770
3036,29,1098,3484,914,9088
6569,5,50,3349,39,3250
35961,65,1114,1788,839,9850
10391,0,65,3121,48,2265
8313,21,668,3238,497,14328
11704,20,696,3050,539,21387
40816,55,1605,1464,1173,17804
5848,8,364,3379,271,8769
31340,872,39435,2014,29265,280520
40110,73,2749,1526,2111,26837
30508,1,67,2053,53,3330
23121,85,2414,2422,1773,28153
32705,30,2116,1947,1584,23684
22556,48,3598,2449,2348,15929
33235,8,221,1925,150,6227
35617,1,35,1814,27,3826
8588,3,355,3220,273,8954
38864,34,879,1603,626,10747
40820,8,157,1464,127,4526
20878,0,867,2543,642,8154
15278,1681,138904,2816,96416,315386
41835,202,4715,1322,3378,41631
28496,25,964,2160,663,19250
32512,304,11904,1955,7251,81850
9738,6,225,3152,181,4705
12787,11,268,2993,219,5426
33105,1,110,1930,98,5485
21566,12,870,2502,685,8823
7014,16,660,3328,506,16966
8020,13,426,3261,300,8298
26312,31,1787,2276,1331,23764
20452,19,1529,2567,1232,16420
4813,22,434,3433,360,5761
3980,5,158,3464,123,3262
19384,95,3023,2623,2152,16682
28466,8,474,2161,387,13526
1452,3,58,3608,49,3981
24047,0,42,2378,33,1649
5307,5,552,3407,420,6888
16417,324,19748,2763,12796,159207
41400,4,207,1393,96,10819
37099,6,240,1721,196,3753
13947,45,4837,2902,3713,36521
2202,110,3252,3498,2519,29012
28935,6,145,2135,121,2452
33772,5,156,1905,132,2387
38446,1,37,1630,33,2966
11315,8,201,3072,171,3518
5912,7,85,3376,57,6182
45730,1,14,325,9,1776
42506,30,951,1194,624,11284
22546,8,259,2450,206,8531
14056,9,272,2894,219,3984
23343,3,257,2412,211,4640
37221,57,705,1713,539,6324
41223,80,3094,1421,1496,33059
44921,15,330,608,269,5671
20363,30,1206,2572,867,10356
39280,77,1963,1575,1555,13787
15330,6,252,2813,208,7771
45808,6,66,301,45,2346
5574,0,113,3394,89,3966
16869,83,2034,2740,1651,10865
27639,8,432,2209,325,12019
6399,17,184,3356,140,11936
