Mod,likes,downloads,time,unique_dl,views,dl_dif
3748,325,6879,1024,4858,40691,2021
3783,46,1123,1004,716,24492,407
301,10160,177598,2268,105510,888930,72088
894,213,8232,2168,5611,88519,2621
776,86,6100,2196,4712,61112,1388
3775,59,1049,1013,821,23336,228
909,11,390,2165,322,26040,68
3766,251,3461,1017,2646,23460,815
4252,285,18587,445,13529,43969,5058
2037,242,7091,1867,4565,46147,2526
4080,60,524,720,433,12791,91
535,277,5519,2238,3686,28674,1833
1607,224,9544,2014,6645,40687,2899
1382,230,10933,2070,7449,112144,3484
4258,113,1911,438,1164,10957,747
3742,24,272,1025,177,6616,95
1400,42,4522,2065,3845,17790,677
1870,8,366,1942,265,14529,101
2123,223,7510,1820,5492,45451,2018
1110,10291,276362,2136,134369,780892,141993
1074,118,3783,2142,2707,39323,1076
1473,29,1921,2051,1336,48298,585
235,304,4443,2275,2692,83605,1751
1651,119,2486,1999,1800,31660,686
2018,7,464,1873,315,22712,149
906,245,13433,2167,9050,114723,4383
4266,35,405,413,286,15913,119
1839,3743,124867,1953,72068,426093,52799
1187,241,6756,2120,4575,40784,2181
6,49,777,2292,279,41914,498
1581,302,21742,2022,14343,48028,7399
745,566,13905,2205,9082,60016,4823
928,3742,111585,2163,78625,316807,32960
200,759,7477,2279,5386,236650,2091
375,15,230,2260,157,16500,73
3436,213,6070,1411,3912,64069,2158
1869,28,1125,1942,804,26977,321
3525,35,719,1326,499,35239,220
774,234,8413,2196,5882,74915,2531
585,39,1518,2231,1208,20817,310
4032,14,107,744,90,7054,17
3258,5679,247703,1574,140152,735820,107551
1027,83,2303,2149,1807,50937,496
1244,62,5161,2107,3690,48827,1471
4224,25,344,493,259,11611,85
930,1404,31589,2163,20334,117296,11255
2102,75,2216,1832,1350,29143,866
4295,29,575,385,402,6113,173
1812,41,1210,1961,802,21199,408
1835,167,4364,1955,2699,44652,1665
4152,599,11054,599,7910,64743,3144
3833,46,958,939,690,26970,268
2129,42,1453,1818,1082,20644,371
4304,21,434,384,272,6269,162
1873,48,2116,1941,1303,35092,813
1366,29,787,2077,574,18337,213
1637,11,474,2002,310,16667,164
682,247,12036,2217,8333,59161,3703
929,137,2172,2163,1543,14488,629
769,26,652,2200,521,38386,131
1660,8249,246973,1995,151733,1178358,95240
1692,577,43094,1986,27536,120104,15558
4145,139,1890,610,1352,22141,538
1960,934,32818,1898,21552,267094,11266
602,116,5206,2229,3939,96885,1267
385,8747,123705,2259,82072,567786,41633
891,89,3171,2168,2489,19440,682
28,3095,67510,2291,44380,408457,23130
4290,10,130,386,87,3655,43
1912,146,4198,1924,2857,50809,1341
672,90,2858,2219,1886,34884,972
3764,5,98,1018,54,3456,44
1005,119,6407,2154,4771,57801,1636
441,274,12072,2254,8310,102570,3762
305,72,1114,2267,795,119299,319
3009,789,10732,1672,7083,50603,3649
2031,71,1957,1868,1294,34327,663
1572,34,1555,2025,1114,22647,441
1695,66,1401,1986,1043,12864,358
740,626,30135,2206,20498,203995,9637
2076,21,305,1845,221,12733,84
4241,53,721,470,484,11545,237
192,527,5381,2280,4114,125095,1267
2137,195,9233,1815,6198,56671,3035
1482,33,1055,2047,708,18621,347
1903,10,554,1927,330,12866,224
888,130,3092,2168,2039,50709,1053
2009,515,13827,1874,9749,101042,4078
1413,191,3465,2060,2629,35195,836
274,118,1840,2271,1249,54010,591
1387,325,8608,2068,4685,78206,3923
557,281,6983,2235,5369,35885,1614
204,394,4940,2279,3346,98890,1594
3688,152,2377,1100,1971,80121,406
4211,280,4135,507,2931,34659,1204
1101,10,240,2137,181,8273,59
1438,94,5665,2056,4162,32501,1503
76,41,554,2289,384,19736,170
